EwEVersion,"6.6.16889.1 (compiled 27/04/2020)"
Date,"28/04/2020 13:45:59"
ModelName,Kat_200116
EcosimScenario,WGINOSE_baseline_BT+25%
TimeSeries,Katt_mints_baseline_BT+25
StartYear,1982

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2048,0.002758851,0.04058752,0.02819782,0.4597009,0.1117681,0.4565725,0.1974662,0.201559,2.482246,0.2591272,0.6690046,0.04780206,0.009749291,0.7537354,0.1393629,6.969179,1.734567,10.95695,0.1922676,103.7065,56.47814,1.237817,6.819149,27.70569,0.01679509,9.338921,6.604349,0.3058706,31.57227
2049,0.002756287,0.04058733,0.02819782,0.459643,0.111757,0.4566079,0.1975486,0.20156,2.482958,0.259127,0.668915,0.04779609,0.009753128,0.7538495,0.1391552,6.969269,1.734446,10.95697,0.1935415,103.7204,56.4716,1.234054,6.81731,27.70995,0.0167956,9.339107,6.604293,0.3058712,31.57229
2050,0.002754168,0.04058717,0.02819782,0.4595955,0.1117508,0.4566142,0.1975821,0.2015604,2.483511,0.2591198,0.668842,0.04779174,0.009756908,0.7539598,0.138954,6.969377,1.734326,10.957,0.1947873,103.73,56.46628,1.230566,6.816051,27.71395,0.01679683,9.339254,6.604242,0.3058717,31.5723
2051,0.002752286,0.04058704,0.02819782,0.4595581,0.1117491,0.4566083,0.1975655,0.2015611,2.483928,0.2591076,0.6687862,0.04778893,0.009760623,0.7540669,0.1387581,6.969507,1.734208,10.95702,0.1960025,103.736,56.46222,1.227336,6.815313,27.71782,0.01679863,9.339366,6.604195,0.3058721,31.5723
2052,0.002750494,0.04058695,0.02819782,0.45953,0.1117517,0.4565949,0.1975185,0.2015627,2.484233,0.2590918,0.6687478,0.04778757,0.009764268,0.754171,0.1385668,6.969658,1.734092,10.95705,0.1971855,103.7391,56.45932,1.22435,6.815036,27.72158,0.0168009,9.339441,6.604149,0.3058724,31.57228
2053,0.002748737,0.04058689,0.02819782,0.4595102,0.1117576,0.4565724,0.1974689,0.2015659,2.484446,0.2590736,0.6687267,0.04778749,0.009767833,0.754272,0.1383796,6.969832,1.733978,10.95707,0.198335,103.7397,56.45741,1.221592,6.815168,27.72516,0.0168035,9.339489,6.604105,0.3058727,31.57226
2054,0.002747031,0.04058684,0.02819782,0.4594975,0.1117662,0.4565491,0.1974297,0.2015705,2.48458,0.2590538,0.6687221,0.04778852,0.009771309,0.7543693,0.1381964,6.970028,1.733868,10.95709,0.1994501,103.7382,56.45629,1.219047,6.815656,27.72849,0.01680633,9.339516,6.604065,0.3058729,31.57224
2055,0.002745409,0.04058683,0.02819782,0.4594907,0.1117767,0.456535,0.197403,0.2015764,2.484647,0.2590328,0.6687317,0.04779051,0.009774691,0.7544628,0.138017,6.970245,1.733761,10.95712,0.2005303,103.7349,56.45578,1.216701,6.816447,27.73151,0.01680932,9.339524,6.604029,0.3058731,31.57221
2056,0.00274391,0.04058684,0.02819782,0.4594884,0.1117884,0.4565307,0.1973929,0.2015832,2.484653,0.2590108,0.6687534,0.04779327,0.009777974,0.7545519,0.1378412,6.97048,1.733659,10.95715,0.2015751,103.73,56.45567,1.21454,6.817493,27.73419,0.01681242,9.339524,6.603999,0.3058733,31.57219
2057,0.002742572,0.04058688,0.02819782,0.4594899,0.1118009,0.4565326,0.197401,0.2015905,2.484607,0.2589879,0.6687849,0.04779663,0.009781152,0.7546369,0.137669,6.970728,1.733561,10.95718,0.2025841,103.7236,56.45586,1.212551,6.818747,27.73652,0.0168156,9.339517,6.603973,0.3058734,31.57217
