EwEVersion,"6.6.16889.1 (compiled 27/04/2020)"
Date,"28/04/2020 13:46:00"
ModelName,Kat_200116
EcosimScenario,WGINOSE_baseline_BT+25%
TimeSeries,Katt_mints_baseline_BT+25
StartYear,1982

Data,Catch

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2036,0,0,0,0.1967623,0.002132592,0.05965708,0.00451406,0.003409673,0.05774062,0.02962054,0.2932468,0.0001837652,0.002494214,0.4377098,0.01114306,0.2851257,1.263834,0,0.0002814532,0,0,0.02433419,0.0002050133,0,0,0,0,0,0
2037,0,0,0,0.1965999,0.002129488,0.05965926,0.004510149,0.003407933,0.05785774,0.02963969,0.2928718,0.0001835204,0.002494974,0.4377947,0.01110964,0.2850804,1.263805,0,0.0002834504,0,0,0.02416358,0.0002044201,0,0,0,0,0,0
2038,0,0,0,0.1964618,0.002127063,0.05961738,0.004501379,0.003406352,0.05795607,0.02965394,0.2925349,0.0001833079,0.002495808,0.4378887,0.01107873,0.2850377,1.263748,0,0.0002855078,0,0,0.02400381,0.0002039005,0,0,0,0,0,0
2039,0,0,0,0.1963464,0.002125219,0.05956531,0.004488457,0.003405065,0.05804018,0.02966519,0.2922434,0.0001831269,0.002496705,0.4379897,0.0110499,0.2850004,1.263671,0,0.0002876087,0,0,0.02385481,0.0002034502,0,0,0,0,0,0
2040,0,0,0,0.1962508,0.002123832,0.05952414,0.00447323,0.003404131,0.05811338,0.02967465,0.291999,0.0001829765,0.002497654,0.4380949,0.0110229,0.2849698,1.263581,0,0.0002897411,0,0,0.02371635,0.0002030649,0,0,0,0,0,0
2041,0,0,0,0.1961719,0.002122793,0.0594863,0.004461208,0.003403546,0.05817795,0.02968307,0.291801,0.0001828534,0.002498642,0.4382009,0.01099758,0.2849462,1.26348,0,0.0002918953,0,0,0.02358805,0.0002027393,0,0,0,0,0,0
2042,0,0,0,0.1961063,0.00212199,0.05945089,0.004455029,0.003403258,0.05823514,0.02969071,0.2916448,0.0001827529,0.002499653,0.4383042,0.01097385,0.2849291,1.263374,0,0.0002940629,0,0,0.02346934,0.000202467,0,0,0,0,0,0
2043,0,0,0,0.1960505,0.002121331,0.05943013,0.004453016,0.00340318,0.05828556,0.02969753,0.2915227,0.0001826708,0.002500676,0.438402,0.01095164,0.2849182,1.263269,0,0.0002962352,0,0,0.02335954,0.0002022414,0,0,0,0,0,0
2044,0,0,0,0.1960019,0.002120766,0.05942559,0.004453778,0.003403227,0.05832954,0.02970336,0.2914262,0.0001826039,0.002501704,0.4384933,0.01093082,0.2849121,1.263167,0,0.0002984039,0,0,0.02325792,0.0002020562,0,0,0,0,0,0
2045,0,0,0,0.1959592,0.002120271,0.05942756,0.004457215,0.003403327,0.0583673,0.02970803,0.2913487,0.0001825492,0.002502731,0.438578,0.01091124,0.2849096,1.263068,0,0.0003005606,0,0,0.02316381,0.0002019056,0,0,0,0,0,0
