EwEVersion,"6.6.16889.1 (compiled 27/04/2020)"
Date,"28/04/2020 13:43:05"
ModelName,Kat_200116
EcosimScenario,WGINOSE_baseline_BT+75%
TimeSeries,"Katt_mints _baseline_BT+75"
StartYear,1982

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2015,0.003471529,0.04063407,0.02819782,0.4490726,0.1293241,0.3644983,0.08078138,0.1781409,1.929828,0.2182051,0.5932444,0.05356599,0.00940343,0.6798265,0.1823151,6.861884,1.595113,11.02044,0.2559579,86.84106,53.74574,1.746352,10.15209,25.44982,0.01908568,9.428233,6.645689,0.3059574,31.64582
2016,0.002879702,0.04059544,0.02819782,0.4490509,0.1281708,0.3706464,0.08904698,0.1831973,1.926999,0.2169558,0.583351,0.05273985,0.009352483,0.6824255,0.1746197,6.841273,1.594646,11.00452,0.235656,87.50256,55.36238,1.68862,9.831891,25.99707,0.01965651,9.377251,6.636543,0.3058884,31.61755
2017,0.002482418,0.04056912,0.02819782,0.4478539,0.1279315,0.3884996,0.1149918,0.1886432,1.944858,0.2181149,0.5803006,0.05227704,0.009291376,0.68378,0.168833,6.834017,1.59467,10.99285,0.2197054,88.50196,56.5568,1.642056,9.579951,26.3682,0.01995642,9.340634,6.629843,0.3058393,31.59807
2018,0.002260535,0.04055326,0.02819782,0.4460935,0.1269742,0.405726,0.1663608,0.1935306,1.974483,0.2203458,0.5797545,0.05194866,0.009241686,0.6843564,0.1643226,6.837864,1.595693,10.98588,0.2070985,89.61443,57.28994,1.602803,9.369666,26.53657,0.02003289,9.319457,6.626148,0.3058128,31.58812
2019,0.002199844,0.04054394,0.02819782,0.4436861,0.1254935,0.4200981,0.2158145,0.1972899,2.008533,0.2227796,0.5790293,0.05161632,0.009198796,0.684177,0.1607547,6.844151,1.597398,10.98301,0.1970406,90.69294,57.62671,1.567753,9.183841,26.54167,0.01996818,9.310863,6.625173,0.3058014,31.58544
2020,0.002231736,0.04053746,0.02819782,0.4408953,0.1237257,0.4388761,0.2291466,0.1997855,2.042356,0.2249606,0.5769469,0.05124662,0.009162898,0.6836462,0.1578296,6.848356,1.59942,10.98209,0.1889219,91.68302,57.73921,1.535183,9.016599,26.49626,0.01983907,9.308387,6.625445,0.3057942,31.58532
2021,0.002273408,0.04053136,0.02819782,0.4380133,0.1222122,0.4547201,0.2256863,0.2012679,2.074139,0.2267969,0.5736491,0.05089149,0.009134787,0.6832396,0.1553125,6.848579,1.601166,10.98122,0.1823046,92.58429,57.76839,1.504676,8.869446,26.47974,0.01969453,9.307601,6.625555,0.3057889,31.58498
2022,0.002300722,0.04052522,0.02819782,0.4355158,0.1211121,0.4597348,0.2237557,0.2021049,2.103495,0.2283603,0.5699962,0.05055939,0.009112949,0.6830806,0.1530829,6.845072,1.602348,10.97996,0.1768589,93.40432,57.7637,1.476265,8.742566,26.49774,0.01955462,9.307486,6.625162,0.3057863,31.58421
2023,0.002315514,0.04051928,0.02819782,0.433499,0.1203643,0.4583941,0.2219254,0.2025672,2.130381,0.2297239,0.566514,0.05024674,0.009095711,0.6830991,0.1510742,6.839983,1.603176,10.97843,0.1723374,94.14841,57.74179,1.449954,8.63443,26.53827,0.01942487,9.307722,6.624421,0.3057854,31.58313
2024,0.002313709,0.04051371,0.02819782,0.4319014,0.1198189,0.4578638,0.2165377,0.2028244,2.154909,0.2309387,0.5633661,0.04997655,0.009082422,0.6832459,0.149242,6.834853,1.603809,10.97671,0.168565,94.82308,57.71766,1.425718,8.543759,26.596,0.01930616,9.307868,6.62343,0.3057849,31.58169
2025,0.002291743,0.04050862,0.02819782,0.4306443,0.119404,0.4574943,0.210167,0.2029896,2.177279,0.232045,0.5606981,0.04975666,0.009072416,0.6834856,0.1475686,6.830055,1.604246,10.97486,0.1654173,95.43384,57.69751,1.403512,8.469302,26.66361,0.01919728,9.30783,6.622278,0.3057845,31.58002
2026,0.002255611,0.04050416,0.02819782,0.4296518,0.1190858,0.4548406,0.2058283,0.2031271,2.197623,0.2330649,0.5586068,0.04958052,0.009064771,0.6837618,0.1460543,6.82585,1.604534,10.97309,0.1627962,95.9826,57.67724,1.383225,8.409189,26.73016,0.01909621,9.307845,6.621125,0.3057848,31.57845
2027,0.002212806,0.04050041,0.02819782,0.4288431,0.1188303,0.4518853,0.2023345,0.203258,2.215966,0.2339998,0.5570482,0.04944262,0.009058845,0.6840271,0.1446987,6.822547,1.604762,10.97152,0.1606192,96.46983,57.65368,1.364689,8.361313,26.78939,0.01900182,9.308038,6.620085,0.3057854,31.57713
2028,0.002166115,0.04049731,0.02819782,0.4281649,0.1186141,0.450454,0.1986075,0.2033845,2.232321,0.2348433,0.5559221,0.04933907,0.009054307,0.6842657,0.1434954,6.820147,1.604966,10.97017,0.158817,96.89732,57.62757,1.34773,8.323831,26.8403,0.01891412,9.308368,6.619188,0.3057862,31.57605
2029,0.002117967,0.0404948,0.02819782,0.4275924,0.1184295,0.4494809,0.1961222,0.2035047,2.246724,0.2355905,0.5551549,0.04926367,0.009050814,0.6844695,0.1424372,6.818446,1.605139,10.96907,0.1573295,97.26721,57.59787,1.332183,8.295023,26.88139,0.01883348,9.308894,6.618449,0.3057874,31.57528
2030,0.002073057,0.0404928,0.02819782,0.4271024,0.1182663,0.4481603,0.1958153,0.2036108,2.259199,0.2362347,0.5546764,0.04920791,0.009047979,0.6846244,0.1415169,6.817303,1.605301,10.96824,0.1561019,97.58123,57.56125,1.317877,8.273097,26.91024,0.01876038,9.309744,6.617903,0.3057892,31.5749
2031,0.002034726,0.04049124,0.02819782,0.4266667,0.1181107,0.4473853,0.1965054,0.2036904,2.269772,0.2367679,0.5543904,0.04916528,0.009045556,0.6847234,0.1407234,6.816623,1.605474,10.96769,0.1550849,97.84192,57.51721,1.304641,8.256425,26.92734,0.01869558,9.310916,6.617554,0.3057914,31.57488
2032,0.002003112,0.04049002,0.02819782,0.426268,0.1179583,0.4474931,0.1972652,0.203736,2.278525,0.2371881,0.5542092,0.04913241,0.009043454,0.6847768,0.1400422,6.81625,1.605658,10.96737,0.1542357,98.05379,57.46855,1.292337,8.243763,26.93579,0.01863988,9.312283,6.617361,0.3057939,31.57512
2033,0.001977505,0.04048903,0.02819782,0.4259022,0.1178146,0.4477275,0.1982917,0.2037482,2.285609,0.237501,0.5540841,0.04910696,0.009041613,0.6847987,0.1394587,6.816014,1.605837,10.96719,0.1535182,98.22251,57.41821,1.280858,8.234179,26.93846,0.0185936,9.313745,6.617277,0.3057965,31.57552
2034,0.001957494,0.04048822,0.02819782,0.4255685,0.1176846,0.4477469,0.1994913,0.2037324,2.291214,0.2377182,0.5539909,0.04908642,0.009039958,0.6847994,0.138959,6.815827,1.606005,10.96713,0.1529019,98.35413,57.36856,1.270125,8.22695,26.93756,0.01855652,9.315211,6.617266,0.3057992,31.57601
2035,0.001941987,0.04048752,0.02819782,0.4252659,0.1175715,0.4478547,0.2002617,0.203696,2.295553,0.2378543,0.5539111,0.0490698,0.009038487,0.6847901,0.1385299,6.815666,1.606163,10.96712,0.1523623,98.45505,57.32251,1.260081,8.2216,26.93559,0.01852799,9.316574,6.617291,0.3058017,31.57648
2036,0.001929248,0.04048692,0.02819782,0.4249981,0.1174789,0.4480635,0.2004837,0.203649,2.298859,0.2379265,0.5538401,0.04905775,0.009037228,0.6847817,0.1381589,6.815511,1.606302,10.96711,0.151881,98.53162,57.28268,1.250691,8.217883,26.93464,0.01850701,9.317739,6.617313,0.3058038,31.57686
2037,0.001918055,0.04048638,0.02819782,0.424769,0.117409,0.4480885,0.2004969,0.2036013,2.301357,0.2379525,0.553789,0.04905035,0.009036179,0.6847802,0.1378364,6.815354,1.606416,10.96707,0.1514444,98.58936,57.25006,1.241933,8.215651,26.93542,0.01849229,9.318679,6.617317,0.3058055,31.57715
2038,0.001907885,0.04048592,0.02819782,0.4245791,0.1173607,0.4479336,0.200421,0.2035603,2.303238,0.2379473,0.5537693,0.04904734,0.009035315,0.6847858,0.137555,6.815222,1.60651,10.96702,0.1510425,98.63267,57.22446,1.233785,8.214783,26.93774,0.01848248,9.319402,6.617301,0.305807,31.57732
