EwEVersion,"6.5.14034.0 (compiled 10/03/2017)"
Date,"08/05/2020 07:58:32"
ModelName,"NorthSea1991-2013 Key Run"
EcosimScenario,"Basic setup"
TimeSeries,"North Sea 12Jan2016_070520_Effplus25"
StartYear,1991

Data,Catch

Year,"Baleen whales","Toothed whales",Seals,"Surface-feeding seabirds","Juvenile sharks",Spurdog,"Large piscivorous sharks","Small sharks","Juvenile rays","Starry ray + others","Thornback & Spotted ray","Skate + cuckoo ray","Cod (juvenile 0-2)","Cod (adult)","Whiting (juvenile 0-1)","Whiting (adult)","Haddock (juvenile 0-1)","Haddock (adult)","Saithe (juvenile 0-3)","Saithe (adult)",Hake,"Blue whiting","Norway pout","Other gadoids (large)","Other gadoids (small)",Monkfish,Gurnards,"Herring (juvenile 0-1)","Herring (adult)",Sprat,Mackerel,"Horse mackerel",Sandeels,Plaice,Dab,"Long-rough dab",Flounder,Sole,"Lemon sole",Witch,Turbot,Megrim,Halibut,Dragonets,"Catfish (Wolf-fish)","Large demersal fish","Small demersal fish","Miscellaneous filterfeeding pelagic fish","Squid & cuttlefish","Fish larvae","Carnivorous zooplankton","Herbivorous & Omnivorous zooplankton (copepods)","Gelatinous zooplankton","Large crabs",Nephrops,"Epifaunal macrobenthos (mobile grazers)","Infaunal macrobenthos",Shrimp,"Small mobile epifauna (swarming crustaceans)","Small infauna (polychaetes)","Sessile epifauna",Meiofauna,"Benthic microflora (incl Bacteria protozoa))","Planktonic microflora (incl Bacteria protozoa)","Diving seabirds",Phytoplankton,"Detritus - DOM -water column","Detritus - POM - sediment",Discards
2011,0,0,0,0,0,0.01573191,0.0004639896,0.0002860012,0,0.001658024,0.008878362,0.005531004,0.01247288,0.02756657,0.0005849292,0.02592733,0.000243521,0.1307643,0.01330439,0.09924805,0.0008372942,0.001003014,0.1280669,0.02762554,0.02135365,0.03090728,0.002628871,0.005324826,0.5389257,0.04277593,0.1999204,0.05861889,0.2825843,0.5015277,0.09905079,0.001429401,0.02693764,0.06250351,0.00474304,0.008940031,0.006426284,0.0005286078,0.0003472441,0,0.004095232,0.004634766,0.08450443,0.003145974,0.0003734067,0,0,0,0,0.02588587,0.01695569,0.0122279,0,0.2155183,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0.01461542,0.0004532981,0.0002650516,0,0.001454033,0.008204629,0.00498059,0.009770651,0.03669679,0.0004915436,0.02685041,0.0002797892,0.07425873,0.01189915,0.09513733,0.0007494893,0.00197842,0.2396676,0.02591424,0.02272782,0.02998581,0.00232564,0.008046583,0.7767232,0.0413282,0.1786792,0.04962825,0.1130939,0.539427,0.09137387,0.001245464,0.02470483,0.06710923,0.004480235,0.008297461,0.006482455,0.0004939923,0.0003271612,0,0.004207794,0.004515523,0.08048169,0.002049144,0.0003470266,0,0,0,0,0.02597114,0.01553462,0.01023741,0,0.208683,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0.01424022,0.0004655336,0.0002612951,0,0.001471911,0.00825114,0.005018954,0.007749215,0.0430348,0.0005482076,0.02687691,0.0003659368,0.0779347,0.009889338,0.09576667,0.0007427506,0.003127535,0.3592143,0.02474161,0.02285939,0.02980808,0.002270015,0.008965716,0.814675,0.02020443,0.1747218,0.04785084,0.3977897,0.5774505,0.09004635,0.001214307,0.02460012,0.06916421,0.004438263,0.008268279,0.006546669,0.0004677115,0.0003210652,0,0.004355692,0.004568155,0.08100086,0.002086029,0.0003564942,0,0,0,0,0.02552353,0.0157229,0.01008495,0,0.2079556,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0.01394208,0.0004782309,0.0002579038,0,0.001536993,0.008541566,0.005202724,0.008388537,0.04486595,0.000503409,0.02713615,0.0003678901,0.07972693,0.008941161,0.1033044,0.0006904775,0.002835889,0.3351868,0.0240423,0.02317876,0.03007257,0.002266518,0.009336243,0.780813,0.0281107,0.1689631,0.04266108,0.3705674,0.6108971,0.09056967,0.001226237,0.02519827,0.08316872,0.004526407,0.0084639,0.006840996,0.0004606333,0.0003249105,0,0.004626458,0.004767402,0.0807692,0.002197206,0.000377589,0,0,0,0,0.02514651,0.0164688,0.01026751,0,0.2084294,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0.01371062,0.000485385,0.0002539551,0,0.001569003,0.008751372,0.005347444,0.01516513,0.04439242,0.0003782313,0.02631935,0.0003360599,0.08694913,0.008312774,0.1063462,0.0006334625,0.002534166,0.3213408,0.02334698,0.02329645,0.03018407,0.002245342,0.008409473,0.7903587,0.03790172,0.1624973,0.03791786,0.34512,0.6363484,0.09101057,0.001233617,0.02562093,0.09833883,0.004597256,0.008603092,0.007028853,0.0004596484,0.0003274041,0,0.004864165,0.004920398,0.07847539,0.002213379,0.0003909011,0,0,0,0,0.02478455,0.01721206,0.01045868,0,0.2078262,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0.01355331,0.0004883713,0.0002498099,0,0.001581241,0.008867745,0.005454318,0.02312419,0.04934908,0.0002705477,0.02477114,0.0002992019,0.09422884,0.007658501,0.1051843,0.0005739309,0.002198213,0.3159427,0.02282704,0.02330473,0.03026742,0.00221878,0.007364383,0.7926573,0.04990824,0.1556166,0.03356512,0.3232332,0.6561928,0.09163459,0.001230724,0.02591541,0.1140295,0.004674449,0.008725165,0.007202291,0.0004649432,0.00032894,0,0.005067522,0.004997928,0.07522046,0.002269492,0.0004135032,0,0,0,0,0.02446438,0.01798769,0.0106946,0,0.2097612,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0.01342844,0.0004883562,0.0002464941,0,0.001590878,0.00895573,0.005555928,0.02587965,0.06174155,0.0002169821,0.02300864,0.0002511709,0.09861085,0.007454775,0.100762,0.0005194471,0.002075499,0.336895,0.02246513,0.02394089,0.03030133,0.00221468,0.007489345,0.7664621,0.06772567,0.1502545,0.03013169,0.3205807,0.6724293,0.09251534,0.001225462,0.02625811,0.1290281,0.004782205,0.008864365,0.007406996,0.0004849522,0.0003306041,0,0.005244067,0.005093763,0.07467776,0.002510899,0.0004614643,0,0,0,0,0.02428663,0.0188126,0.01098181,0,0.2139746,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0.01324031,0.0004855756,0.0002446777,0,0.001621655,0.009080415,0.005692586,0.02724844,0.07860536,0.0002409126,0.02160302,0.0001965067,0.100723,0.008257446,0.09388227,0.0004822509,0.002416031,0.3935734,0.02213404,0.02523261,0.03021821,0.002271226,0.009325471,0.7020962,0.09605529,0.1485493,0.02816294,0.3425545,0.6845525,0.09334145,0.001219734,0.02681509,0.1416938,0.004908755,0.009009561,0.007797448,0.0005374706,0.000334488,0,0.005403833,0.005312734,0.07706786,0.002900587,0.0005329489,0,0,0,0,0.02419958,0.01963542,0.01128308,0,0.2168227,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0.01297567,0.0004810895,0.0002443732,0,0.001692412,0.00925773,0.005886051,0.02726044,0.09582615,0.0004537124,0.0210427,0.0001884567,0.1009791,0.01044288,0.08643953,0.0004743817,0.00352128,0.4731665,0.02188214,0.02657771,0.03006024,0.002418714,0.01025378,0.6575485,0.1347676,0.1516012,0.02783798,0.379766,0.6914024,0.09378415,0.001213923,0.02761035,0.1511334,0.005020849,0.009128035,0.008558887,0.0006439854,0.0003429543,0,0.005551742,0.005672721,0.08182102,0.003170281,0.0005933946,0,0,0,0,0.02411557,0.02039876,0.01155557,0,0.2149329,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0.01295865,0.0004798166,0.0002445299,0,0.001785079,0.00944467,0.006091908,0.02557378,0.1061158,0.0008131335,0.02169083,0.0002329818,0.09677895,0.01334071,0.08077829,0.0004937184,0.004612541,0.4988705,0.02227745,0.0265625,0.03019802,0.002604404,0.008878118,0.6860301,0.1634253,0.1554133,0.02772572,0.3881299,0.6926786,0.09375978,0.001210133,0.02830877,0.158525,0.005093729,0.00920808,0.009596438,0.000793521,0.0003552889,0,0.005681236,0.005875933,0.08562361,0.002843486,0.0005604312,0,0,0,0,0.02396967,0.02114357,0.01180866,0,0.2104293,0,0,0,0,0,0,0,0,0,0,0
