EwEVersion,"6.5.14034.0 (compiled 10/03/2017)"
Date,"07/05/2020 18:15:42"
ModelName,"NorthSea1991-2013 Key Run"
EcosimScenario,"Basic setup"
TimeSeries,"North Sea 12Jan2016_070520_Effplus75"
StartYear,1991

Data,Biomass

Year,"Baleen whales","Toothed whales",Seals,"Surface-feeding seabirds","Juvenile sharks",Spurdog,"Large piscivorous sharks","Small sharks","Juvenile rays","Starry ray + others","Thornback & Spotted ray","Skate + cuckoo ray","Cod (juvenile 0-2)","Cod (adult)","Whiting (juvenile 0-1)","Whiting (adult)","Haddock (juvenile 0-1)","Haddock (adult)","Saithe (juvenile 0-3)","Saithe (adult)",Hake,"Blue whiting","Norway pout","Other gadoids (large)","Other gadoids (small)",Monkfish,Gurnards,"Herring (juvenile 0-1)","Herring (adult)",Sprat,Mackerel,"Horse mackerel",Sandeels,Plaice,Dab,"Long-rough dab",Flounder,Sole,"Lemon sole",Witch,Turbot,Megrim,Halibut,Dragonets,"Catfish (Wolf-fish)","Large demersal fish","Small demersal fish","Miscellaneous filterfeeding pelagic fish","Squid & cuttlefish","Fish larvae","Carnivorous zooplankton","Herbivorous & Omnivorous zooplankton (copepods)","Gelatinous zooplankton","Large crabs",Nephrops,"Epifaunal macrobenthos (mobile grazers)","Infaunal macrobenthos",Shrimp,"Small mobile epifauna (swarming crustaceans)","Small infauna (polychaetes)","Sessile epifauna",Meiofauna,"Benthic microflora (incl Bacteria protozoa))","Planktonic microflora (incl Bacteria protozoa)","Diving seabirds",Phytoplankton,"Detritus - DOM -water column","Detritus - POM - sediment",Discards
2070,0.05366074,0.01394849,0.01164259,0.00189922,0.0009711178,0.170674,0.0007263865,0.00163462,0.1638132,0.07221938,0.08768687,0.04977427,0.03047596,0.06433298,0.005757759,0.1915087,0.0005420123,0.3848675,0.009857153,0.01977556,0.004255128,0.06162265,1.396923,0.08531752,0.4589278,0.1080062,0.1593882,0.09167363,2.528852,0.4314392,0.08648718,0.1648263,0.8675079,2.712254,2.83585,0.5036617,0.3006926,0.4324737,0.1353041,0.08585217,0.006885434,0.04221385,0.03034349,0.05594547,0.04081351,0.02264979,0.3894646,0.01944532,0.04319729,0.1735521,1.751433,8.04031,0.02575035,1.157314,1.216502,70.60053,125.0481,0.08900938,28.02717,141.3584,97.47443,3.644365,0.1004487,1.387677,0.00235108,7.465966,23.58954,23.95765,1.151601E-06
2071,0.05330605,0.01388666,0.01160017,0.001888654,0.0009748652,0.1713401,0.0007264907,0.001633885,0.1619019,0.0711046,0.08796365,0.04965979,0.02989309,0.06463792,0.005789426,0.1886085,0.0005639215,0.3535129,0.009341187,0.01874875,0.003929286,0.05901878,1.405506,0.0854863,0.4617101,0.1078267,0.1583511,0.09071631,2.538896,0.4276462,0.08019387,0.1575345,0.8606946,2.71303,2.836492,0.5051848,0.3010806,0.4344748,0.1352268,0.085836,0.006688896,0.04207663,0.03000857,0.05637084,0.04084394,0.02234244,0.3886372,0.01926839,0.04299338,0.1721113,1.729778,7.944916,0.02550773,1.16001,1.229804,70.5933,125.0297,0.0897645,28.03451,141.3795,97.47478,3.645508,0.1004635,1.388296,0.002324587,7.473716,23.58716,23.96123,1.145895E-06
2072,0.05295318,0.01382534,0.01155734,0.001877993,0.0009791091,0.1718788,0.0007267101,0.001634363,0.1608947,0.07028041,0.08839031,0.04964209,0.02895969,0.06436712,0.005872095,0.1867323,0.0009314519,0.3120249,0.0089559,0.01775133,0.003624356,0.05669151,1.420645,0.08620229,0.4650215,0.1069785,0.1580953,0.08949154,2.536509,0.4240642,0.07434604,0.1507031,0.8662827,2.714185,2.837351,0.5073773,0.3019882,0.4365999,0.1351562,0.08584439,0.006523645,0.04204659,0.02970603,0.05682153,0.04087925,0.02205942,0.3896453,0.01914414,0.04291505,0.170714,1.714381,7.864445,0.02527767,1.164042,1.250682,70.60798,125.0369,0.09048164,28.04076,141.4027,97.48702,3.644718,0.1004596,1.38849,0.002301578,7.478068,23.58187,23.96078,1.13895E-06
2073,0.0526046,0.01376556,0.01151605,0.001868124,0.0009836497,0.1722794,0.0007272086,0.001636347,0.1609294,0.06983072,0.088958,0.04975013,0.02793441,0.06345257,0.005989262,0.1861892,0.002657668,0.2667541,0.00866727,0.0168767,0.003344015,0.0547526,1.440827,0.08742857,0.4685853,0.1055335,0.1587965,0.08765992,2.525604,0.4201501,0.06904312,0.1445418,0.8826631,2.715795,2.838506,0.5101097,0.3036353,0.4388461,0.1350714,0.08587832,0.006400003,0.04213267,0.02946283,0.05722347,0.04092137,0.02181464,0.3923069,0.0190127,0.04283424,0.1692138,1.699327,7.783316,0.02504451,1.169101,1.279755,70.63526,125.0154,0.09089775,28.03277,141.3733,97.49497,3.643568,0.1004489,1.388424,0.002283868,7.481992,23.57572,23.9588,1.132158E-06
2074,0.05226058,0.01370759,0.0114787,0.00185916,0.0009876766,0.1725557,0.0007277713,0.001639289,0.1617251,0.06967997,0.0895769,0.04995747,0.02708155,0.06213703,0.006099731,0.1865874,0.002442136,0.2679691,0.008414331,0.01614979,0.003087567,0.05314178,1.453662,0.08840812,0.4714095,0.1039632,0.1601913,0.08609873,2.502088,0.4155017,0.06426861,0.1390611,0.8918858,2.71737,2.839426,0.5126631,0.3059247,0.4411223,0.1349233,0.08591235,0.006313225,0.04228159,0.02927506,0.05742383,0.04096736,0.02160137,0.3951997,0.01890412,0.04265292,0.1678636,1.691683,7.727395,0.02478055,1.172438,1.308386,70.64146,124.947,0.09081901,28.01816,141.3059,97.49332,3.643026,0.1004211,1.388054,0.002270849,7.481299,23.56617,23.95203,1.129377E-06
2075,0.05191466,0.01365007,0.01144712,0.001850533,0.0009893886,0.1727227,0.0007276114,0.001641338,0.1620715,0.06942353,0.09001317,0.05012605,0.02664284,0.06088982,0.006136124,0.1868294,0.002042312,0.3377251,0.008142359,0.01553096,0.002849454,0.05194471,1.449824,0.0879012,0.4730584,0.1035269,0.1611649,0.08591028,2.473252,0.4110372,0.05982667,0.1340566,0.8715534,2.718427,2.839679,0.5139412,0.3080953,0.4431888,0.1347247,0.08592948,0.006228667,0.04237093,0.0290885,0.05734416,0.04100558,0.02142932,0.3952655,0.01892856,0.04248238,0.1672115,1.697026,7.713703,0.02455432,1.171043,1.321664,70.58988,124.7997,0.09050331,27.99017,141.1859,97.46179,3.638846,0.1003255,1.386363,0.002256591,7.470183,23.54511,23.93028,1.135627E-06
2076,0.05156231,0.01359188,0.01141851,0.001842162,0.0009887408,0.1727824,0.000726609,0.001641713,0.1611721,0.06881176,0.09017021,0.05017051,0.02694765,0.05986461,0.006095672,0.1868149,0.001730965,0.3920471,0.007820451,0.01497644,0.002627649,0.05143655,1.446215,0.0864914,0.4746561,0.1043488,0.1611233,0.08720627,2.448469,0.4075252,0.05556351,0.1294364,0.8405531,2.71877,2.839037,0.5142353,0.3095801,0.4448774,0.1345012,0.08592113,0.006120918,0.04237573,0.02887283,0.05720123,0.04103078,0.02132954,0.3924125,0.01904302,0.04258278,0.166896,1.704392,7.706326,0.02447075,1.168008,1.325333,70.49572,124.554,0.09034733,27.93594,140.9812,97.37134,3.631273,0.1001796,1.383597,0.00223662,7.454487,23.51573,23.89793,1.14273E-06
2077,0.05120448,0.0135331,0.01138876,0.001833633,0.0009868761,0.1727363,0.0007251971,0.001640879,0.1593138,0.067936,0.09011719,0.05010872,0.02776778,0.0593903,0.006004425,0.1866707,0.001263126,0.4109291,0.007428426,0.01443398,0.002423764,0.05136537,1.447212,0.08500198,0.4761701,0.1055163,0.1603891,0.08794899,2.434851,0.4041061,0.05144973,0.1251261,0.8131475,2.717958,2.836931,0.5139511,0.3103995,0.4460982,0.1342216,0.08585677,0.005991838,0.04234906,0.02863301,0.05710372,0.04104349,0.02127224,0.388591,0.01905457,0.04267694,0.1662478,1.7008,7.670305,0.02444292,1.165436,1.326949,70.37395,124.2553,0.09022052,27.87587,140.7504,97.22811,3.626822,0.1000636,1.38151,0.002211317,7.444485,23.49044,23.87149,1.146271E-06
2078,0.05084203,0.01347371,0.01135586,0.001824442,0.0009846124,0.1726022,0.0007234928,0.001639248,0.1570434,0.06693179,0.08996186,0.04997705,0.0282758,0.05966384,0.005877948,0.1860584,0.0006632155,0.4058347,0.006992963,0.01383813,0.002236183,0.05115703,1.448441,0.083779,0.4772812,0.1063791,0.1593335,0.08682365,2.43304,0.3998091,0.04748233,0.1209264,0.7922134,2.715914,2.833155,0.5134,0.3107096,0.4469443,0.1338826,0.08573645,0.005847251,0.04229917,0.02837569,0.05707921,0.04104341,0.0212006,0.3850802,0.01893259,0.04260988,0.1652046,1.688513,7.610018,0.02435112,1.163717,1.329937,70.24306,124.005,0.09026284,27.84222,140.6014,97.07285,3.626368,0.1000035,1.380756,0.002182606,7.441741,23.4735,23.85678,1.145779E-06
2079,0.05047573,0.01341374,0.01131944,0.001814403,0.0009825968,0.172379,0.0007214856,0.001637333,0.1548803,0.06591611,0.08981601,0.04982059,0.02808345,0.06018079,0.005756302,0.1848947,0.0004229932,0.3854022,0.006575315,0.01316601,0.002061979,0.05068236,1.451524,0.08295561,0.4785368,0.1066468,0.1582749,0.08471223,2.429392,0.3949516,0.04370266,0.1167756,0.7798942,2.713433,2.828613,0.5129958,0.3107936,0.44761,0.1335487,0.08560281,0.005693602,0.04222522,0.02810981,0.05717671,0.04103233,0.02110546,0.3827711,0.01879961,0.04254267,0.1640509,1.678964,7.553564,0.02422016,1.163163,1.336739,70.12924,123.849,0.09051895,27.83472,140.5456,96.93423,3.62542,0.09996122,1.380435,0.002152705,7.440037,23.45946,23.84607,1.142191E-06
