EwEVersion,"6.5.14034.0 (compiled 10/03/2017)"
Date,"07/05/2020 18:15:46"
ModelName,"NorthSea1991-2013 Key Run"
EcosimScenario,"Basic setup"
TimeSeries,"North Sea 12Jan2016_070520_Effplus75"
StartYear,1991

Data,Catch

Year,"Baleen whales","Toothed whales",Seals,"Surface-feeding seabirds","Juvenile sharks",Spurdog,"Large piscivorous sharks","Small sharks","Juvenile rays","Starry ray + others","Thornback & Spotted ray","Skate + cuckoo ray","Cod (juvenile 0-2)","Cod (adult)","Whiting (juvenile 0-1)","Whiting (adult)","Haddock (juvenile 0-1)","Haddock (adult)","Saithe (juvenile 0-3)","Saithe (adult)",Hake,"Blue whiting","Norway pout","Other gadoids (large)","Other gadoids (small)",Monkfish,Gurnards,"Herring (juvenile 0-1)","Herring (adult)",Sprat,Mackerel,"Horse mackerel",Sandeels,Plaice,Dab,"Long-rough dab",Flounder,Sole,"Lemon sole",Witch,Turbot,Megrim,Halibut,Dragonets,"Catfish (Wolf-fish)","Large demersal fish","Small demersal fish","Miscellaneous filterfeeding pelagic fish","Squid & cuttlefish","Fish larvae","Carnivorous zooplankton","Herbivorous & Omnivorous zooplankton (copepods)","Gelatinous zooplankton","Large crabs",Nephrops,"Epifaunal macrobenthos (mobile grazers)","Infaunal macrobenthos",Shrimp,"Small mobile epifauna (swarming crustaceans)","Small infauna (polychaetes)","Sessile epifauna",Meiofauna,"Benthic microflora (incl Bacteria protozoa))","Planktonic microflora (incl Bacteria protozoa)","Diving seabirds",Phytoplankton,"Detritus - DOM -water column","Detritus - POM - sediment",Discards
2024,0,0,0,0,0,0.0128411,0.0003978021,0.000254397,0,0.002592165,0.01197947,0.007598145,0.03292698,0.06890652,0.001022099,0.03944516,0.0005142459,0.1386835,0.01516308,0.07090949,0.0004495644,0.01898934,0.7106281,0.02384183,0.02947317,0.02886865,0.004205033,0.009794894,0.880311,0.2438911,0.1370355,0.02818964,0.5089124,0.6579408,0.1168687,0.00172066,0.03695667,0.1679063,0.006771924,0.01151921,0.008914229,0.00148435,0.0005066474,0,0.006509403,0.006823124,0.1127448,0.00423942,0.0009173332,0,0,0,0,0.02634893,0.03075402,0.01619239,0,0.1920037,0,0,0,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0.01253229,0.0003838884,0.000254563,0,0.002599343,0.01176395,0.0075172,0.03319607,0.06950214,0.0008941669,0.0412291,0.0004345353,0.1484328,0.01257433,0.07036412,0.0004763064,0.02356861,0.7293888,0.0230693,0.02970572,0.02847947,0.004251836,0.009733579,0.8460236,0.2473441,0.1339111,0.02875363,0.5128579,0.6527857,0.116223,0.001701779,0.03704334,0.1681181,0.006727811,0.01142344,0.008832263,0.001534727,0.000510562,0,0.006394804,0.006928359,0.1123512,0.004264821,0.0009265822,0,0,0,0,0.02626771,0.03082117,0.01610783,0,0.1842472,0,0,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0.01228598,0.0003725118,0.0002547766,0,0.002604234,0.01156366,0.007435867,0.03203465,0.07051157,0.0008541673,0.0413232,0.0003416937,0.1485489,0.0104499,0.06585,0.000517489,0.02752235,0.7450681,0.02252985,0.02991104,0.02823156,0.004289854,0.009493027,0.8288125,0.2541257,0.131337,0.02943524,0.5172915,0.647074,0.1153815,0.001682181,0.03702359,0.1681705,0.006664569,0.01131526,0.008761837,0.001583562,0.0005149214,0,0.006291123,0.006997388,0.1124816,0.004230333,0.0009255323,0,0,0,0,0.0261474,0.03083009,0.01600922,0,0.1790142,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0.0120897,0.0003631122,0.0002550929,0,0.002609503,0.01139973,0.007366373,0.03016555,0.07064537,0.0009971678,0.04071323,0.0002782286,0.1420871,0.009227842,0.05945683,0.0005740127,0.03080586,0.7624812,0.02219505,0.03020007,0.02798411,0.004330824,0.009364414,0.8109748,0.2639557,0.129532,0.03024121,0.5260371,0.6420717,0.11462,0.001668415,0.03694196,0.1683844,0.006609655,0.01122582,0.008725383,0.001635383,0.0005199649,0,0.006195014,0.007049616,0.1134045,0.004203712,0.0009270342,0,0,0,0,0.02603999,0.03087564,0.01592855,0,0.1754999,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0.01193001,0.000355361,0.0002556044,0,0.002620223,0.01127612,0.007317958,0.02858018,0.06959789,0.001326641,0.04065263,0.0002786909,0.1308248,0.009107548,0.05307829,0.0006476284,0.03357008,0.7790203,0.02204907,0.03048878,0.02768097,0.004385717,0.009350901,0.7899624,0.273901,0.1287065,0.03121477,0.5382287,0.6382126,0.1140389,0.001661939,0.03687346,0.1687962,0.006571074,0.01116375,0.008758749,0.001692442,0.0005262022,0,0.00610659,0.007101938,0.1147165,0.004166056,0.0009274734,0,0,0,0,0.02596904,0.03102094,0.01587243,0,0.1719817,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0.01179731,0.0003488502,0.0002562166,0,0.002635555,0.01117977,0.007287818,0.02753746,0.06779907,0.001647817,0.0421253,0.0005502573,0.1159369,0.009878887,0.04848891,0.0007371752,0.03555248,0.7853308,0.02205789,0.03059111,0.02730053,0.004448069,0.009324512,0.7725751,0.2785328,0.1286735,0.03228601,0.5497952,0.6352903,0.1135882,0.001659828,0.03683957,0.1692648,0.006543979,0.01112322,0.008847367,0.001746715,0.0005336271,0,0.006026492,0.007144775,0.1157233,0.004096437,0.0009219599,0,0,0,0,0.02592906,0.03129883,0.01583444,0,0.1682986,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0.01168095,0.0003430798,0.0002567006,0,0.002648223,0.01109406,0.007264871,0.02701339,0.06572697,0.001792444,0.04510656,0.0006897475,0.1050151,0.01079539,0.04677695,0.0008351366,0.03648457,0.7759097,0.02210861,0.0304272,0.02685121,0.004497561,0.009226476,0.7616,0.2742896,0.1289469,0.03329901,0.5555856,0.6330394,0.1131996,0.001658147,0.03682401,0.169602,0.006523086,0.01109676,0.008917619,0.001782462,0.0005414084,0,0.005954949,0.007164997,0.1159535,0.004018823,0.0009128742,0,0,0,0,0.02589734,0.03166431,0.01580669,0,0.1651366,0,0,0,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0.01156827,0.0003375393,0.0002568113,0,0.002645027,0.01100168,0.007231013,0.02662288,0.0639613,0.001743612,0.04840772,0.0005989317,0.1166676,0.0111247,0.04740913,0.000929754,0.03663272,0.752686,0.02190591,0.03009076,0.02648745,0.004506174,0.009145551,0.7524984,0.2631712,0.128888,0.03412147,0.5462337,0.6312789,0.1128425,0.001653343,0.03679067,0.169649,0.006506464,0.01107778,0.008875812,0.001787626,0.0005478796,0,0.005891623,0.007168127,0.1151,0.003984684,0.0009056326,0,0,0,0,0.02581891,0.03184512,0.01577906,0,0.1627388,0,0,0,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0.01144891,0.0003319413,0.0002564714,0,0.002616607,0.0108918,0.007171335,0.026231,0.06258985,0.001563869,0.05081245,0.0005201812,0.1381618,0.01067527,0.04864453,0.001012952,0.03680608,0.7308133,0.02136109,0.02982629,0.02637852,0.004459452,0.009180833,0.7401552,0.2509657,0.1280439,0.03476717,0.5274256,0.6298471,0.1125137,0.00164527,0.03670986,0.1693706,0.006493336,0.01106091,0.008674704,0.001764871,0.0005518612,0,0.005835891,0.007184399,0.1133651,0.004024103,0.0009088349,0,0,0,0,0.02570738,0.03173663,0.01574551,0,0.1613889,0,0,0,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0.01132301,0.0003265407,0.0002559157,0,0.002572336,0.01077448,0.007093191,0.02594067,0.06134881,0.001357627,0.05194649,0.0004445296,0.1500451,0.009704916,0.04891282,0.001086152,0.03751918,0.7222587,0.020709,0.02977844,0.02642381,0.004382989,0.009246384,0.7251201,0.2419234,0.1265617,0.03536839,0.5130749,0.6284993,0.1121978,0.001636842,0.0366003,0.1688657,0.006479371,0.01103838,0.008363898,0.001730453,0.0005536911,0,0.005787257,0.007233114,0.1117539,0.004091737,0.0009199169,0,0,0,0,0.02562019,0.03149698,0.0157042,0,0.1603495,0,0,0,0,0,0,0,0,0,0,0
